282 (4, 1, 8) 26 0.00 99.91
283 (13, 1, 21) 25 0.00 99.91
284 (8, 99, 99) 25 0.00 99.92
285 (13, 2, 5) 24 0.00 99.92
286 (18, 6, 2) 23 0.00 99.92
287 (8, 1, 1) 23 0.00 99.92
288 (13, 1, 17) 22 0.00 99.92
289 (16, 1, 4) 22 0.00 99.93
290 (3, 5, 99) 21 0.00 99.93
291 (9, 1, 3) 21 0.00 99.93
292 (10, 3, 4) 21 0.00 99.93
293 (10, 1, 2) 20 0.00 99.93
294 (10, 1, 99) 19 0.00 99.94
295 (18, 2, 4) 19 0.00 99.94
296 (13, 2, 32) 18 0.00 99.94
297 (9, 3, 1) 18 0.00 99.94
298 (12, 5, 1) 17 0.00 99.94
299 (5, 4, 4) 17 0.00 99.95
300 (3, 1, 99) 17 0.00 99.95
301 (5, 2, 3) 17 0.00 99.95
302 (13, 2, 10) 17 0.00 99.95
303 (9, 2, 2) 17 0.00 99.95
304 (15, 6, 1) 17 0.00 99.95
305 (13, 2, 22) 16 0.00 99.96
306 (18, 9, 3) 15 0.00 99.96
307 (9, 4, 2) 15 0.00 99.96
308 (4, 4, 2) 14 0.00 99.96
309 (15, 7, 1) 14 0.00 99.96
310 (4, 1, 4) 14 0.00 99.96
311 (16, 1, 8) 14 0.00 99.96
312 (18, 2, 8) 13 0.00 99.97
313 (13, 1, 15) 13 0.00 99.97
314 (4, 2, 3) 12 0.00 99.97
315 (18, 9, 2) 12 0.00 99.97
316 (18, 6, 99) 12 0.00 99.97
317 (6, 2, 99) 12 0.00 99.97
318 (9, 1, 99) 12 0.00 99.97
319 (16, 99, 99) 11 0.00 99.97
320 (12, 5, 4) 10 0.00 99.98
321 (8, 3, 1) 10 0.00 99.98
322 (13, 2, 14) 10 0.00 99.98
323 (8, 7, 2) 9 0.00 99.98
324 (18, 8, 99) 9 0.00 99.98
325 (18, 4, 2) 9 0.00 99.98
326 (13, 1, 19) 8 0.00 99.98
327 (12, 2, 99) 8 0.00 99.98
328 (13, 2, 6) 8 0.00 99.98
329 (5, 1, 3) 7 0.00 99.98
330 (18, 8, 1) 7 0.00 99.98
331 (2, 7, 99) 7 0.00 99.98
332 (4, 3, 2) 7 0.00 99.98
333 (13, 99, 99) 6 0.00 99.99
334 (13, 2, 18) 6 0.00 99.99
335 (12, 5, 3) 6 0.00 99.99
336 (8, 2, 99) 6 0.00 99.99
337 (15, 3, 99) 6 0.00 99.99
338 (13, 1, 23) 6 0.00 99.99
339 (9, 4, 1) 6 0.00 99.99
340 (2, 1, 99) 5 0.00 99.99
341 (6, 3, 99) 5 0.00 99.99
342 (5, 2, 5) 5 0.00 99.99
343 (4, 4, 99) 5 0.00 99.99
344 (12, 3, 10) 4 0.00 99.99
345 (14, 99, 99) 4 0.00 99.99
346 (2, 6, 99) 4 0.00 99.99
347 (5, 3, 2) 4 0.00 99.99
348 (3, 2, 4) 4 0.00 99.99
349 (2, 5, 99) 4 0.00 99.99
350 (2, 3, 99) 4 0.00 99.99
351 (18, 6, 4) 4 0.00 99.99
352 (8, 4, 99) 3 0.00 99.99
353 (5, 3, 5) 3 0.00 100.00
354 (10, 3, 5) 3 0.00 100.00
355 (18, 7, 99) 3 0.00 100.00
356 (8, 2, 3) 3 0.00 100.00
357 (8, 1, 2) 3 0.00 100.00
358 (3, 4, 99) 3 0.00 100.00
359 (3, 99, 99) 3 0.00 100.00
360 (18, 10, 99) 3 0.00 100.00
361 (10, 1, 1) 3 0.00 100.00
362 (13, 2, 7) 2 0.00 100.00
363 (7, 1, 99) 2 0.00 100.00
364 (12, 5, 2) 2 0.00 100.00
365 (1, 5, 1) 2 0.00 100.00
366 (5, 2, 4) 2 0.00 100.00
367 (18, 4, 99) 2 0.00 100.00
368 (18, 8, 3) 2 0.00 100.00
369 (18, 2, 99) 2 0.00 100.00
370 (9, 1, 4) 2 0.00 100.00
371 (16, 1, 3) 1 0.00 100.00
372 (4, 99, 99) 1 0.00 100.00
373 (18, 9, 99) 1 0.00 100.00
374 (8, 6, 99) 1 0.00 100.00
375 (15, 8, 1) 1 0.00 100.00
376 (6, 4, 3) 1 0.00 100.00
377 (9, 5, 99) 1 0.00 100.00
378 (13, 3, 2) 1 0.00 100.00
